step,label,gap_m,rescued_km,score,components_after,cumulative_new_m
1,C2-C7,6.37772552471087,0.07037447997847644,1.1034416533889144,10,6.37772552471087
2,C0-C2,34.92831318751612,0.30025201357190934,0.8596235723150345,9,41.306038712226986
3,C0-C5,16.02700273225794,0.13347767049975942,0.8328298979515718,8,57.33304144448493
4,C0-C3,57.686033460322385,0.15850756048132036,0.27477632101424526,7,115.01907490480731
5,C0-C6,45.47985850576421,0.11192380140545047,0.246095315778665,6,160.4989334105715
6,C9-C10,11.636333807563451,0.01634593127713173,0.14047320700362778,5,172.13526721813497
7,C0-C4,113.98709633782839,0.1511150614659793,0.13257207729734002,4,286.1223635559634
8,C1-C3,141.99360751683167,0.15850756048132036,0.11163006789762078,3,428.11597107279505
9,C3-C8,78.8232164434901,0.024629637639583875,0.03124667927911993,2,506.93918751628513
10,C2-C9,170.80862741516708,0.01874942346097823,0.01097685974339336,1,677.7478149314522
