component,nodes,length_km,share_%,marginal
0,101,6.419743213975736,82.36591680089019,False
1,5,0.3890556212443622,4.991620671146192,False
2,9,0.30025201357190934,3.8522619277552157,False
3,2,0.15850756048132036,2.033667095982049,False
4,5,0.1511150614659793,1.9388206296120707,False
5,2,0.13347767049975942,1.7125312238698167,False
6,3,0.11192380140545047,1.435993030769771,False
7,4,0.07037447997847644,0.9029112800328606,False
8,2,0.024629637639583875,0.3160005964477984,True
9,2,0.01874942346097823,0.2405568885511856,True
10,2,0.01634593127713173,0.2097198549428443,True
